genre,units,revenue_cents,revenue_rank
Rock,835,82665,1
Latin,386,38214,2
Metal,264,26136,3
Alternative & Punk,244,24156,4
TV Shows,47,9353,5
Jazz,80,7920,6
Blues,61,6039,7
Drama,29,5771,8
Classical,41,4059,9
R&B/Soul,41,4059,9
Sci Fi & Fantasy,20,3980,10
Reggae,30,2970,11
Pop,28,2772,12
Soundtrack,20,1980,13
Comedy,9,1791,14
Hip Hop/Rap,17,1683,15
Bossa Nova,15,1485,16
Alternative,14,1386,17
World,13,1287,18
Science Fiction,6,1194,19
Electronica/Dance,12,1188,20
Heavy Metal,12,1188,20
Easy Listening,10,990,21
Rock And Roll,6,594,22
