month,orders,active_customers,revenue_cents,average_order_cents,previous_cents,growth_percent
2009-01,6,6,3564,594.0,,
2009-02,7,7,3762,537.4285714285714,3564,5.56
2009-03,7,7,3762,537.4285714285714,3762,0.0
2009-04,7,7,3762,537.4285714285714,3762,0.0
2009-05,7,7,3762,537.4285714285714,3762,0.0
2009-06,7,7,3762,537.4285714285714,3762,0.0
2009-07,7,7,3762,537.4285714285714,3762,0.0
2009-08,7,7,3762,537.4285714285714,3762,0.0
2009-09,7,7,3762,537.4285714285714,3762,0.0
2009-10,7,7,3762,537.4285714285714,3762,0.0
2009-11,7,7,3762,537.4285714285714,3762,0.0
2009-12,7,7,3762,537.4285714285714,3762,0.0
2010-01,7,7,5262,751.7142857142857,3762,39.87
2010-02,7,7,4662,666.0,5262,-11.4
2010-03,7,7,4462,637.4285714285714,4662,-4.29
2010-04,7,7,3762,537.4285714285714,4462,-15.69
2010-05,7,7,3762,537.4285714285714,3762,0.0
2010-06,7,7,3762,537.4285714285714,3762,0.0
2010-07,7,7,3762,537.4285714285714,3762,0.0
2010-08,7,7,3762,537.4285714285714,3762,0.0
2010-09,6,6,3663,610.5,3762,-2.63
2010-10,7,7,3762,537.4285714285714,3663,2.7
2010-11,7,7,3762,537.4285714285714,3762,0.0
2010-12,7,7,3762,537.4285714285714,3762,0.0
2011-01,7,7,3762,537.4285714285714,3762,0.0
2011-02,7,7,3762,537.4285714285714,3762,0.0
2011-03,7,7,3762,537.4285714285714,3762,0.0
2011-04,7,7,5162,737.4285714285714,3762,37.21
2011-05,7,7,4262,608.8571428571429,5162,-17.44
2011-06,7,7,5062,723.1428571428571,4262,18.77
2011-07,7,7,3762,537.4285714285714,5062,-25.68
2011-08,7,7,3762,537.4285714285714,3762,0.0
2011-09,7,7,3762,537.4285714285714,3762,0.0
2011-10,7,7,3762,537.4285714285714,3762,0.0
2011-11,6,6,2376,396.0,3762,-36.84
2011-12,7,7,3762,537.4285714285714,2376,58.33
2012-01,7,7,3762,537.4285714285714,3762,0.0
2012-02,7,7,3762,537.4285714285714,3762,0.0
2012-03,7,7,3762,537.4285714285714,3762,0.0
2012-04,7,7,3762,537.4285714285714,3762,0.0
2012-05,7,7,3762,537.4285714285714,3762,0.0
2012-06,7,7,3762,537.4285714285714,3762,0.0
2012-07,7,7,3962,566.0,3762,5.32
2012-08,7,7,4762,680.2857142857143,3962,20.19
2012-09,6,6,4671,778.5,4762,-1.91
2012-10,7,7,4262,608.8571428571429,4671,-8.76
2012-11,7,7,3762,537.4285714285714,4262,-11.73
2012-12,7,7,3762,537.4285714285714,3762,0.0
2013-01,7,7,3762,537.4285714285714,3762,0.0
2013-02,5,5,2772,554.4,3762,-26.32
2013-03,7,7,3762,537.4285714285714,2772,35.71
2013-04,5,5,3366,673.2,3762,-10.53
2013-05,7,7,3762,537.4285714285714,3366,11.76
2013-06,7,7,3762,537.4285714285714,3762,0.0
2013-07,7,7,3762,537.4285714285714,3762,0.0
2013-08,7,7,3762,537.4285714285714,3762,0.0
2013-09,7,7,3762,537.4285714285714,3762,0.0
2013-10,7,7,3762,537.4285714285714,3762,0.0
2013-11,7,7,4962,708.8571428571429,3762,31.9
2013-12,7,7,3862,551.7142857142857,4962,-22.17
